Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
0,0,0,0,0,0,0,0,0
20,1,2,"12,7",0,"2,1","7,6","1,8",16
40,"7,67","15,33","49,22",1,"7,88","57,33","14,44","195,44"
60,"26,75","47,5",98,"1,88","17,63",171,"43,88","857,63"
80,"56,2","112,1","161,7","3,3","31,2",348,"96,4","2475,1"
100,"104,1","214,7","241,6","5,2","48,6","642,9","181,6","5962,4"
