Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
0,0,0,0,0,0,0,0,0
100,113,205,238,5,48,603,179,0
150,338,718,521,15,108,1731,563,0
200,794,1751,930,34,196,3710,1327,0
250,1520,3435,1444,57,306,6586,2427,0
300,2714,6205,2087,89,431,10364,4330,0
350,4257,9773,2784,127,563,14854,6680,0
400,6357,14688,3575,181,716,20389,9655,0
450,8991,20584,4418,236,901,27407,13827,0
500,12108,27550,5321,294,1052,35081,18269,0
