MEDIA,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent

10,200,765,1699,942,35,199,3789,1282,0,
10,200,751,1663,927,33,194,3707,1272,0,
10,200,760,1689,959,33,197,3760,1271,0,
10,200,759,1678,935,33,192,3792,1222,0,
10,200,746,1719,946,35,195,3644,1223,0,
10,200,757,1695,931,33,197,3778,1245,0,
10,200,754,1704,937,34,198,3743,1262,0,
10,200,766,1709,946,35,197,3781,1291,0,
10,200,749,1674,930,32,193,3726,1224,0,
10,200,771,1705,931,34,197,3810,1257,0,
