g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
30,60,830,6386,7100,1337,3981,5706,2989,0
30,60,776,5789,6672,1202,3677,5339,2726,0
30,60,787,5987,6812,1252,3773,5491,2758,0
30,60,794,6163,7181,1303,3940,5582,2897,0
30,60,800,6112,6603,1243,3816,5589,2820,0
30,60,817,6375,7073,1312,3954,5725,2903,0
30,60,822,6672,7208,1369,4085,5748,2942,0
30,60,819,6336,7133,1308,3958,5684,2906,0
30,60,811,6348,6974,1320,4064,5726,2921,0
30,60,845,6749,7256,1385,4159,5926,2975,0
,MEDIA,"810,1","6291,7","7001,2","1303,1","3940,7","5651,6","2883,7",0
