Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
0,0,0,0,0,0,0,0,0
20,"34,1","182,5","690,2","85,5","629,5","233,3","96,6",0
40,"770,3","23114,6","27725,6","4678,9","13944,4","7063,6","3671,7",0
60,4990,"811122,9","464113,5","125905,4","268073,7","89212,9",50786,0
80,,,,,,,,
