|g’|,|\G|,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris
29,76,1328,"3865,8","9590,1","309,4","7933,9","6651,4","3058,4"
30,80,"2522,9","35337,1","29299,8","7346,3","15327,3","18749,6","9769,1"
