Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
0,0,0,0,0,0,0,0,0
20,4,"8,4","47,7","2,1","15,2","31,4",8,0
40,"39,4","96,6","256,1","15,2",89,"284,2","95,1",0
60,"150,8","428,3",724,"55,9","256,8","1020,5",389,0
80,404,"1254,1","1537,5","143,9","554,6","2536,6","1075,5",0
100,"827,5","2712,1","2690,9","296,2","992,4","4916,5","2244,1",0
