,10,20,40,60,80
NextClosure,0,2,17,29,40
Lindig,0,4,14,19,27
Inherit-Concepts,0,19,22,34,54
InClose,0,0,0,0,0
Bordat,0,1,2,4,6
Godin ,1,3,12,42,73
Norris,0,1,3,9,19
