Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
0,0,0,0,0,0,0,0,0
20,18,39,172,16,95,88,27,0
40,200,824,1479,194,849,1128,480,0
60,840,6331,6988,1355,3880,5597,2852,0
80,2494,38737,31868,7578,15367,18528,9852,0
100,6222,207258,98618,33690,63809,53211,28283,0
