|g’|,|\G|,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris
10,500,"8788,2","14262,6",3193,"42,7","1400,8","17671,8","8153,3"
10,500,"11830,5","26228,4","5295,1","291,6","1052,8","34903,9","16893,1"
