g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
10,500,11790,26222,5356,291,1078,34731,16797,0
10,500,11888,26268,5302,292,1049,35214,16727,0
10,500,11792,26325,5306,291,1045,34685,16770,0
10,500,11653,26102,5257,287,1053,34624,16915,0
10,500,11719,26202,5247,291,1044,34644,16360,0
10,500,12362,26335,5338,300,1074,35314,16992,0
10,500,11681,26145,5293,285,1045,34761,16780,0
10,500,11684,25947,5270,290,1031,34582,16978,0
10,500,11877,26438,5292,295,1065,35312,17582,0
10,500,11859,26300,5290,294,1044,35172,17030,0
,MEDIA,"11830,5","26228,4","5295,1","291,6","1052,8","34903,9","16893,1",0
